tile_id,split
arid_0001,train
arid_0002,train
arid_0003,train
arid_0004,train
arid_0005,train
arid_0006,val
arid_0007,train
arid_0008,train
arid_0009,train
arid_0010,train
arid_0011,train
arid_0012,train
arid_0013,train
arid_0014,test
arid_0015,val
arid_0016,train
arid_0017,train
arid_0018,train
arid_0019,train
arid_0020,train
arid_0021,train
arid_0022,train
arid_0023,test
arid_0024,val
arid_0025,train
arid_0026,train
arid_0027,train
arid_0028,val
arid_0029,val
arid_0030,train
arid_0031,train
arid_0032,train
arid_0033,train
arid_0034,train
arid_0035,train
arid_0036,test
arid_0037,train
arid_0038,train
arid_0039,val
arid_0040,train
arid_0041,train
arid_0042,train
arid_0043,train
arid_0044,train
arid_0045,train
arid_0046,train
arid_0047,test
arid_0048,test
arid_0049,train
arid_0050,train
arid_0051,train
arid_0052,train
arid_0053,train
arid_0054,train
arid_0055,train
arid_0056,train
arid_0057,test
arid_0058,train
arid_0059,train
arid_0060,train
arid_0061,train
arid_0062,train
arid_0063,train
arid_0064,train
arid_0065,train
arid_0066,train
arid_0067,train
arid_0068,train
arid_0069,train
arid_0070,train
arid_0071,train
arid_0072,train
arid_0073,train
arid_0074,train
arid_0075,train
arid_0076,train
arid_0077,train
arid_0078,train
arid_0079,train
arid_0080,train
arid_0081,train
arid_0082,val
arid_0083,train
arid_0084,train
arid_0085,train
arid_0086,val
arid_0087,val
arid_0088,train
arid_0089,train
arid_0090,train
arid_0091,val
arid_0092,train
arid_0093,train
arid_0094,val
arid_0095,train
arid_0096,val
arid_0097,train
arid_0098,train
arid_0099,train
arid_0100,train
arid_0101,train
arid_0102,train
arid_0103,train
arid_0104,train
arid_0105,train
arid_0106,train
arid_0107,train
arid_0108,train
arid_0109,train
arid_0110,train
arid_0111,train
arid_0112,train
arid_0113,train
arid_0114,train
arid_0115,train
arid_0116,train
arid_0117,train
arid_0118,train
arid_0119,val
arid_0120,train
arid_0121,train
arid_0122,train
arid_0123,train
arid_0124,val
arid_0125,val
arid_0126,train
arid_0127,val
arid_0128,test
arid_0129,train
arid_0130,train
arid_0131,train
arid_0132,train
arid_0133,val
arid_0134,train
arid_0135,train
arid_0136,test
arid_0137,train
arid_0138,train
arid_0139,train
arid_0140,train
arid_0141,train
arid_0142,train
arid_0143,train
arid_0144,train
arid_0145,test
arid_0146,train
arid_0147,train
arid_0148,val
arid_0149,train
arid_0150,train
arid_0151,train
arid_0152,train
arid_0153,train
arid_0154,train
arid_0155,train
arid_0156,train
arid_0157,train
arid_0158,test
arid_0159,train
arid_0160,train
arid_0161,train
arid_0162,train
arid_0163,train
arid_0164,train
arid_0165,train
arid_0166,train
arid_0167,train
arid_0168,train
arid_0169,train
arid_0170,train
arid_0171,train
arid_0172,train
arid_0173,train
arid_0174,train
arid_0175,train
arid_0176,train
arid_0177,train
arid_0178,train
arid_0179,train
arid_0180,train
arid_0181,train
arid_0182,train
arid_0183,train
arid_0184,train
arid_0185,train
arid_0186,train
arid_0187,test
arid_0188,test
arid_0189,train
arid_0190,train
arid_0191,test
arid_0192,test
arid_0193,train
arid_0194,train
arid_0195,train
arid_0196,train
arid_0197,train
arid_0198,train
arid_0199,train
arid_0200,train
arid_0201,train
arid_0202,val
arid_0203,train
arid_0204,test
arid_0205,val
arid_0206,train
arid_0207,test
arid_0208,train
arid_0209,train
arid_0210,train
arid_0211,train
arid_0212,train
arid_0213,val
arid_0214,train
arid_0215,val
arid_0216,train
arid_0217,train
arid_0218,train
arid_0219,train
arid_0220,val
arid_0221,train
arid_0222,train
arid_0223,val
arid_0224,train
arid_0225,train
arid_0226,test
arid_0227,train
arid_0228,train
arid_0229,train
arid_0230,train
arid_0231,train
arid_0232,train
arid_0233,train
arid_0234,train
arid_0235,train
arid_0236,train
arid_0237,train
arid_0238,train
arid_0239,train
arid_0240,train
arid_0241,train
arid_0242,val
arid_0243,train
arid_0244,train
arid_0245,train
arid_0246,test
arid_0247,train
arid_0248,train
arid_0249,train
arid_0250,train
arid_0251,train
arid_0252,train
arid_0253,train
arid_0254,train
arid_0255,train
arid_0256,train
arid_0257,train
arid_0258,train
arid_0259,test
arid_0260,train
arid_0261,test
arid_0262,train
arid_0263,train
arid_0264,train
arid_0265,val
arid_0266,train
arid_0267,train
arid_0268,train
arid_0269,test
arid_0270,train
arid_0271,train
arid_0272,train
arid_0273,train
arid_0274,val
arid_0275,train
arid_0276,val
arid_0277,train
arid_0278,train
arid_0279,train
arid_0280,train
arid_0281,val
arid_0282,train
arid_0283,train
arid_0284,train
arid_0285,test
arid_0286,train
arid_0287,train
arid_0288,train
arid_0289,train
arid_0290,train
arid_0291,train
arid_0292,train
arid_0293,val
arid_0294,test
arid_0295,train
arid_0296,train
arid_0297,train
arid_0298,train
arid_0299,train
arid_0300,train
arid_0301,train
arid_0302,train
arid_0303,train
arid_0304,train
arid_0305,train
arid_0306,train
arid_0307,train
arid_0308,train
arid_0309,train
arid_0310,train
